Date,Miners_Revenue,Difficuly,Cost_Per_Transaction,Average_Block_Size,Total_Bitcoins,Average_Transaction_Confirmation_time
11/08/2021,42939210.62213860000,14496442856349.00,163.617213358400,1.1088433741497,18783162.5,7.083333333
10/08/2021,48233368.67053290000,14496442856349.00,182.742301985030,0.9898545696970,18782400,6.366666667
09/08/2021,43228448.21630560000,14496442856349.00,171.093359519930,1.1259523815789,18781331.25,7.075
08/08/2021,44179354.81712920000,14496442856349.00,230.553507758093,0.8049295759494,18780450,5.120833333
07/08/2021,45850268.79041240000,14496442856349.00,216.041487216226,0.7915977065868,18779468.75,5.475
06/08/2021,41573126.86150500000,14496442856349.00,159.400049313695,1.0376195408805,18778287.5,7.533333333
05/08/2021,39935192.17062210000,14496442856349.00,162.222777173239,0.9629145312500,18777431.25,6.75
04/08/2021,33520445.17127030000,14496442856349.00,139.904026658501,1.1794950808824,18776237.5,8.633333333
03/08/2021,41637592.37890430000,14496442856349.00,168.786452437509,0.9487337218935,18775568.75,5.433333333
02/08/2021,35937889.12802670000,14496442856349.00,150.193663110231,1.2678562447552,18774400,7.508333333
01/08/2021,40874038.11368580000,14496442856349.00,218.150775026877,0.7726021623377,18773418.75,4.833333333
31/07/2021,41621939.12190630000,14319158983942.70,200.734702634731,0.8155839303797,18772612.5,5.075
30/07/2021,42087445.19061850000,13672594272814.00,164.504327600485,0.9293354096386,18771487.5,6.3
29/07/2021,40901817.89725000000,13672594272814.00,152.689370818027,1.0221618375000,18770468.75,6.8375
28/07/2021,39723886.33306220000,13672594272814.00,158.122012447356,1.0117097070064,18769581.25,6.166666667
27/07/2021,40625844.53592660000,13672594272814.00,159.179082191225,1.0925581588235,18768506.25,6.166666667
26/07/2021,36493145.88495380000,13672594272814.00,139.313402882053,1.1471709533333,18767550,7.35
25/07/2021,33196893.29404610000,13672594272814.00,190.201926800046,0.7927888300654,18766506.25,4.591666667
24/07/2021,33022007.45669220000,13672594272814.00,166.701200239749,0.8430606623377,18765581.25,5.183333333
23/07/2021,27972459.84596650000,13672594272814.00,121.024790576587,1.0535018518519,18764675,7.35
22/07/2021,32359585.95660670000,13672594272814.00,138.770373932649,0.9492147777778,18763737.5,6.741666667
